,HKI,PSL,PSL,KÄP,KÄP,OLK,OLK,PMK,PMK,ML,ML,TNA,TNA,PLA,PLA,TKL,TKL,HKH,HKH,HVK,HVK,KVY,KVY,RKL,RKL,HNA,HNA,KRS,KRS,SAV,SAV,KE,KE,KYT,KYT,AIN,AIN,JP,JP,SAU,SAU,PUR,PUR,JK,JK,PLP,PLP,HY,HY,ARP,ARP,RI,RI,R702,R702,SAM,SAM,RY,RY,LK,LK,TU,TU,HRV,HRV,HL,HL,PRL,PRL,LTS,LTS,ITA,ITA,VIN,VIN,KU,KU,TL,TL,VIA,VIA,MAT,MAT,LPÄ,LPÄ,VTR,VTR,SJ,SJ,TPE
0,0,0,2,2,2,2,2,1,1,1,1,0,0,1,1,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,8,8,7,7,7,7,8,8,8,8,9,9,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,11
0,0,0,8,8,8,7,7,7,7,7,7,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,5,5,4,4,3,3,3,3,4,4,4,4,4,4,3,3,4,4,4,4,3,3,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,8,8,8,8,10
0,0,0,0,0,0,0,0,0,0,-1,-1,-2,-2,-2,-2,-2,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,-1,-1,-2,-2,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-3,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-2,-2,-2,-2,-1,-1,2,2,4,4,4,4,3
0,0,-1,0,0,0,0,0,0,0,0,0,-1,-1,-2,-2,-2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-1,-1,-2,-2,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-3,-3,-3,-4,-4,-4,-4,-3,-3,-3,-3,-4,-4,-4,-4,-5,-5,-3,-3,-3,-3,-2,-2,0,0,1,1,1,1,3
0,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,4,4,5,5,5,5,5,5,5
0,0,0,0,0,0,0,0,0,0,-1,-1,-2,-2,-2,-2,-2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,-1,-1,-1,-1,-2,-2,-3,-3,-3,-3,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-3,-3,-3,-3,-3,-3,-4,-4,-3,-3,-3,-3,-3,-3,-4,-4,-4,-4,-4,-4,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4
0,1,1,2,3,3,3,3,2,2,2,2,1,1,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,2,2,1,1,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,7
0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-1,-1,-2,-2,-2,-2,-1,-1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2,2,3,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,8,8,8,10
0,0,0,1,1,1,1,1,0,0,0,0,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4
0,0,0,1,1,1,1,1,0,0,0,0,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,0,0,-2,-2,-2,-2,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,6
